[-2.427946244391587e+12, 0.0, 0.0]	[2.427946244391587e+12, 0.0, 0.0],
[-2.4346646194085513e+12, 0.0, 0.0]	[2.4346646194085513e+12, 0.0, 0.0],
[-2.4408048056691387e+12, 0.0, 0.0]	[2.4408048056691387e+12, 0.0, 0.0],
[-2.446262822644241e+12, 0.0, 0.0]	[2.446262822644241e+12, 0.0, 0.0],
[-2.450921568101899e+12, 0.0, 0.0]	[2.450921568101899e+12, 0.0, 0.0],
[-2.4546493539975103e+12, 0.0, 0.0]	[2.4546493539975103e+12, 0.0, 0.0],
[-2.4572983195694443e+12, 0.0, 0.0]	[2.4572983195694443e+12, 0.0, 0.0],
[-2.4587027248101353e+12, 0.0, 0.0]	[2.4587027248101353e+12, 0.0, 0.0],
[-2.458677133092573e+12, 0.0, 0.0]	[2.458677133092573e+12, 0.0, 0.0],
[-2.4570144993242285e+12, 0.0, 0.0]	[2.4570144993242285e+12, 0.0, 0.0],
[-2.4534841900574385e+12, 0.0, 0.0]	[2.4534841900574385e+12, 0.0, 0.0],
[-2.4478299750535815e+12, 0.0, 0.0]	[2.4478299750535815e+12, 0.0, 0.0],
[-2.4397680464709316e+12, 0.0, 0.0]	[2.4397680464709316e+12, 0.0, 0.0],
[-2.428985142726961e+12, 0.0, 0.0]	[2.428985142726961e+12, 0.0, 0.0],
[-2.4151368797283647e+12, 0.0, 0.0]	[2.4151368797283647e+12, 0.0, 0.0],
[-2.397846422969535e+12, 0.0, 0.0]	[2.397846422969535e+12, 0.0, 0.0],
[-2.376703670077679e+12, 0.0, 0.0]	[2.376703670077679e+12, 0.0, 0.0],
[-2.351265154326386e+12, 0.0, 0.0]	[2.351265154326386e+12, 0.0, 0.0],
[-2.321054924253544e+12, 0.0, 0.0]	[2.321054924253544e+12, 0.0, 0.0],
[-2.285566700458539e+12, 0.0, 0.0]	[2.285566700458539e+12, 0.0, 0.0],
[-2.2442676540008047e+12, 0.0, 0.0]	[2.2442676540008047e+12, 0.0, 0.0],
