[0.06998254069217931, 0.0, 0.0] 	[6.070017459307821, 0.0, 0.0]
[0.057825351903174435, 0.0, 0.0] 	[6.082174648096826, 0.0, 0.0]
[0.0456358944980938, 0.0, 0.0] 	[6.094364105501907, 0.0, 0.0]
[0.03341730384648305, 0.0, 0.0] 	[6.106582696153518, 0.0, 0.0]
[0.021173266271651385, 0.0, 0.0] 	[6.11882673372835, 0.0, 0.0]
[0.008908088165464062, 0.0, 0.0] 	[6.131091911834538, 0.0, 0.0]
[9.996626772731677, 0.0, 0.0] 	[6.143373227268326, 0.0, 0.0]
[9.984335104969771, 0.0, 0.0] 	[6.155664895030233, 0.0, 0.0]
[9.972039745483576, 0.0, 0.0] 	[6.167960254516427, 0.0, 0.0]
[9.959748333638844, 0.0, 0.0] 	[6.180251666361158, 0.0, 0.0]
[9.947469600490333, 0.0, 0.0] 	[6.19253039950967, 0.0, 0.0]
[9.935213491738269, 0.0, 0.0] 	[6.2047865082617335, 0.0, 0.0]
[9.922991300739795, 0.0, 0.0] 	[6.217008699260206, 0.0, 0.0]
[9.910815811273558, 0.0, 0.0] 	[6.2291841887264425, 0.0, 0.0]
[9.898701449312526, 0.0, 0.0] 	[6.241298550687476, 0.0, 0.0]
[9.886664442476276, 0.0, 0.0] 	[6.253335557523727, 0.0, 0.0]
[9.874722985082832, 0.0, 0.0] 	[6.265277014917172, 0.0, 0.0]
[9.8628974057755, 0.0, 0.0] 	[6.277102594224504, 0.0, 0.0]
[9.85121033353957, 0.0, 0.0] 	[6.288789666460436, 0.0, 0.0]
[9.839686856532966, 0.0, 0.0] 	[6.300313143467039, 0.0, 0.0]
[9.828354666534985, 0.0, 0.0] 	[6.31164533346502, 0.0, 0.0]
[9.817244179992958, 0.0, 0.0] 	[6.322755820007047, 0.0, 0.0]
[9.806388624678547, 0.0, 0.0] 	[6.33361137532146, 0.0, 0.0]
[9.795824078961495, 0.0, 0.0] 	[6.344175921038512, 0.0, 0.0]
[9.785589448839012, 0.0, 0.0] 	[6.354410551160993, 0.0, 0.0]
[9.775726366365184, 0.0, 0.0] 	[6.36427363363482, 0.0, 0.0]
[9.76627899232571, 0.0, 0.0] 	[6.373721007674296, 0.0, 0.0]
[9.757293706286957, 0.0, 0.0] 	[6.382706293713049, 0.0, 0.0]
[9.748818668946647, 0.0, 0.0] 	[6.39118133105336, 0.0, 0.0]
[9.740903245451355, 0.0, 0.0] 	[6.399096754548653, 0.0, 0.0]
[9.733597284362785, 0.0, 0.0] 	[6.406402715637222, 0.0, 0.0]
[9.72695025539859, 0.0, 0.0] 	[6.41304974460142, 0.0, 0.0]
[9.721010259783249, 0.0, 0.0] 	[6.418989740216761, 0.0, 0.0]
[9.715822939441352, 0.0, 0.0] 	[6.424177060558657, 0.0, 0.0]
[9.71143032429151, 0.0, 0.0] 	[6.428569675708502, 0.0, 0.0]
[9.707869669043877, 0.0, 0.0] 	[6.432130330956134, 0.0, 0.0]
[9.70517234035204, 0.0, 0.0] 	[6.434827659647972, 0.0, 0.0]
[9.703362820075043, 0.0, 0.0] 	[6.4366371799249675, 0.0, 0.0]
